,cat_name,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
,,freq,2610,2499,2111,1971,1736,1669,1533,1531,1421,1403,1380,1349,1312,1305,1269,1264,1253,1231,1179,1063,1020,1005,939,938,921,905,894,877,844,839,798,782,743,726,715,703,678,656,645,634,628,623,621,619,612,599,589,578,573,566
12,Technical Infrastructure,Word,experience,business,technical,management,degree,product,equivalent,google,cloud,practical,ability,skills,sales,work,data,working,years,teams,customer,engineering,team,partners,including,related,development,strategic,marketing,andor,design,partner,communication,technology,solutions,new,drive,project,support,science,develop,field,complex,relationships,analysis,program,crossfunctional,experienceexperience,manage,software,analytical,projects
,,freq,2621,2509,2128,1991,1748,1670,1545,1532,1425,1415,1386,1356,1312,1310,1277,1273,1263,1238,1180,1075,1024,1005,941,941,923,905,894,889,845,844,803,782,745,726,717,703,684,656,645,634,630,623,621,619,614,603,592,580,578,575
13,IT & Data Management,Word,experience,business,technical,management,degree,product,equivalent,google,cloud,practical,ability,skills,sales,work,data,working,years,teams,customer,engineering,team,partners,partners,including,related,development,strategic,andor,design,partner,communication,technology,new,solutions,drive,project,develop,support,analysis,relationships,program,science,complex,field,crossfunctional,projects,manage,experienceexperience,analytical,managing
,,freq,2632,2517,2130,1998,1750,1670,1550,1532,1425,1420,1391,1362,1312,1310,1284,1276,1267,1238,1182,1075,1037,1008,1063,1049,1011,969,968,929,914,888,878,840,774,773,770,741,724,720,678,677,676,673,668,668,665,663,650,635,630,617
14,Marketing & Communications,Word,experience,business,technical,management,degree,product,google,equivalent,ability,practical,cloud,skills,work,sales,years,working,data,teams,customer,marketing,team,engineering,partners,including,related,strategic,development,andor,design,partner,communication,technology,new,solutions,drive,project,develop,support,relationships,analysis,science,field,program,complex,projects,crossfunctional,manage,experienceexperience,analytical,managing
,,freq,2854,2666,2187,2081,1913,1790,1692,1673,1541,1540,1502,1453,1430,1408,1393,1365,1359,1336,1290,1215,1135,1103,1067,1051,1015,974,971,935,918,890,882,840,776,775,774,744,725,721,679,678,677,676,676,674,668,665,650,639,632,621
15,Network Engineering,Word,experience,business,technical,management,degree,product,google,equivalent,practical,ability,cloud,skills,work,sales,years,working,data,teams,customer,marketing,team,engineering,engineering,partners,including,development,related,andor,technology,partner,communication,design,new,drive,relationships,develop,solutions,project,support,crossfunctional,complex,field,analytical,experienceexperience,analysis,projects,science,manage,customers,program
,,freq,2862,2667,2197,2086,1919,1794,1692,1681,1548,1541,1502,1459,1434,1408,1395,1369,1359,1338,1290,1215,1140,1110,1166,1157,1091,1066,1035,991,953,945,942,921,860,859,849,843,829,790,782,740,737,725,723,717,711,709,705,702,699,681
16,Sales & Account Management,Word,experience,business,technical,management,degree,product,google,equivalent,sales,practical,ability,cloud,skills,work,working,customer,years,teams,data,marketing,team,strategic,engineering,partners,including,development,related,andor,technology,communication,partner,design,relationships,new,drive,solutions,develop,project,support,crossfunctional,complex,analytical,field,customers,science,experienceexperience,analysis,projects,manage,internal
